classname,spellname,level,range,duration,aoe,components,casting_time,saving_throw,description
druid,Dispel Magic,4,80 ft,instantaneous,40 ft cu/ lvl,v s m,6 segments,none,"Dispel magic has a base chance of 50% permanently to ne- gate magic—both the magical properties of potions and the ongoing effects of certain spells. All spell effects and relevant items within the stated area of effect are subject to dispel- ling. Permanent magical items are not disenchanted by the spell, with the exception of potions, which are treated as 12th level for purposes of resolution. However, even a permanently enchanted item must make a saving throw or become non- operational for one round. Any spells in the process of being cast in the spell’s area of effect will be lost, and any ongoing spell effects (such as invisibility) will be dispelled. With respect to each potion, casting, or ongoing spell effect, the base chance of successful dispelling is increased 5% for every level by which the caster’s level exceeds the caster level of the potion, the casting, or the spell effect. The base chance is conversely reduced by 2% per level of difference if the caster is lower level than the caster of the magic to be dispelled. The spell will automatically negate the caster’s own spells if it is used for this purpose or if the caster has previously cast a spell into the same area."
druid,Hallucinatory Forest,4,touch,instantaneous,3 cu ft + 1/ caster lvl,v s m,1 round,none,"The magic user moulds stone by the power of his or her will, shaping it into whatever object or form he or she desires, from a weapon to a sculpture to an ornate stone footstool. Whether used to decorate the wizard’s tower with gargoyles or to make an escape hole from a stone prison, this spell is extremely ver- satile and useful."
druid,Hold Plant,4,80 ft,1 round/ caster lvl,see text,v s m,6 segments,negates,"This spell affects plants that can move, whether naturally or as the result of a spell. Plants affected by the spell are frozen in place for the spell’s duration, and if the spell is cast upon normal vegetation (such as dry leaves), these will make no sound other than sounds caused by the wind. In the case of moulds, fungi, and other plants that cannot be considered separately, the spell affects 4-16 square yards of space, as decided by the druid. In the case of plant creatures such as treants, the spell affects between one and four creatures, at the caster’s option. Depending upon how many creatures (or sq yards of space) the druid targets, the saving throw against the spell is subject to different penalties. If one creature (4 sq yards) is targeted, the saving throw against the spell is made at a penalty of –4; two creatures or 8 sq yards suffer a penalty of –2; three creatures or 12 sq yards suffer a penalty of –1; and four creatures or 16 sq yards suffer no penalty on the saving throw."
druid,Plant Door,4,touch,1 turn/ caster lvl,see text,v s m,6 segments,none,"This spell allows the druid to travel effortlessly through vegetation of any kind, stepping through it as if it did not exist. The pathway may also be travelled by a druid of higher level than the caster, but no other creature can take advantage of the spell’s effect. The pathway opened by the spell may be up to 5 ft wide, 10 ft high, and up to 120 ft/ caster level in length. The druid may even use the spell to shift inside a tree or move through an area of plants affected by a spell (such as entangle). If the druid is within a tree that is attacked, he or she must leave the tree before it is killed or die with the tree."
druid,Produce Fire,4,40 ft,1 round,60 ft radius,v s m,6 segments,see text,"This spell instantly creates a normal fire within its area of effect, a blazing conflagration lasting only one minute (1 round) but causing 1d4 hit points of damage to any creature in the area and igniting all combustible material (subject, of course, to an item saving throw against normal fire). The reverse of the spell extinguishes all normal fires within the area of effect."
druid,Protection From Lightning,4,touch,see text,one creature,v s m,6 segments,none,"This spell lends the recipient the same protection against lightning and electricity as the third level spell protection from fire affords against fire: The druid may use this spell to confer considerable protection from lightning upon another creature, but if he or she casts it upon him- or herself the effects are far greater, conferring temporary invulnerability even to lightning or electricity of a magical nature. If the spell is cast upon another creature, the recipient gains immunity to normal lightning and a saving throw bonus of +4 against lightning based attacks. Any damage incurred by lightning attacks will also reduced by half. If the spell is cast upon the druid, he or she becomes completely invulnerable to normal lightning and also ignores all damage from magical lightning until a total of 12 hp/caster level has been absorbed by the spell, at which time the spell will be dissipated."
druid,Repel Insects,4,caster,1 turn/ caster lvl,one creature,v s m,1 round,see text,"An invisible barrier forms around the spell’s recipient as the caster completes the invocation, warding him or her from insects. Only true insects are affected by the spell, which does not repel spiders, scorpions, beetles or centipedes. Normal insects are completely hedged out by the spell, and giant varieties (2+ HD) must succeed in a saving throw against spells to pass the barrier. Even if a giant insect should manage to penetrate the barrier, it will sustain 1d6 hit points of damage from doing so."
druid,Speak with Plants,4,caster,2 rounds/ caster lvl,40 ft radius around caster,v s m,1 turn,none,"The druid becomes able to hold converse with living plant matter. He or she may pose questions and understand the answers given, although any conclusions or opinions the plant provides will be based on the plant’s level of intelligence. Even a normal plant, however, will be able to convey information about events that have transpired near it. If the plants are capable of motion, it will be possible for the druid to persuade them into a course of action, such as drawing aside to allow passage, or even attacking an enemy citadel."
druid,Animal Growth,5,80 ft,2 rounds/ caster lvl,Up to 8 animals in a 10ft radius,v s m,7 segments,none,"This spell causes up to 8 animals in the area of effect to grow to twice normal size, doubling their hit dice and the damage they inflict. The spell does not influence the animals’ attitude toward the druid, so it is advisable to ensure ahead of time that they are friendly. The reverse of the spell halves their size and damage inflicted."
druid,Animal Summoning II,5,180 ft/ caster lvl,specific mission,spell range,v s m,7 segments,none,"This spell is similar to animal summoning I, but is more powerful. The spell will summon a maximum of six animals, each no greater than 8 HD, or up to 12 animals, each no greater than 4 HD."
druid,Anti-Plant Shell,5,0,1 turn/ caster lvl,80 ft radius sphere,v s m,7 segments,none,"When the druid finishes casting this spell, an invisible barrier forms in an 80 ft radius around the caster and is immobile thereafter. No vegetable matter (including missiles formed of vegetable matter, such as wooden arrows) can penetrate the barrier."
druid,Commune With Nature,5,caster,-,-,v s m,1 turn,none,"To cast this spell, the druid enters into a trance that brings him or her into a state of oneness with the natural surroundings. He or she gains knowledge of the area, learning one fact for each of his or her caster levels. The radius of the area with which the druid can commune is a half-mile for every caster level. Facts that the druid may divine include the paths of water, inhabitants in a part of the region, etc."
druid,Control Winds,5,caster,1 turn/ caster lvl,40 ft radius/ lvl,v s m,7 segments,none,"By the power of this spell, the druid can increase or decrease the force of the winds. For every caster level, the druid may change the speed of the wind by 3 miles per hour. An eye of calm with a radius of 40 ft remains around the druid and travels with him or her. The wind force increases (or decreases) at a rate of 3 miles per hour every round until the end of the spell’s duration, at which time it will return to normal, also at a rate of 3 miles per hour per turn. Winds can be extremely destructive; ships are at great risk of sinking if wind speed reaches 60 miles per hour, and wind speeds of 75+ mph are as a full-fledged hurricane."
druid,Insect Plague,5,320 ft,1 turn/ caster lvl,"cloud of 160 ft radius, 40 ft high",v s m,7 segments,none,"While casting this spell, the druid designates a central point for the spell’s origin up to 360 ft from where he or she stands. When the druid utters the final words of the incantation, this focal point belches forth a massive cloud of stinging insects, which boils outward almost instantly to fill the spell’s area of effect. Within the area of this massive cloud, visibility is limited to 30 ft, and all creatures automatically sustain 1 hit point of damage per round from the stings and bites of the numberless flying vermin. All creatures caught in the cloud with 4 or fewer hit dice must check morale, and those with 2 or fewer hit dice will automatically flee until they are 240 ft away from the edge of the roiling cloud. Fire and smoke will keep the swarm at bay (as will walls of force, etc.), but virtually the only way to disperse a swarm before the spell duration expires is to cast dispel magic upon the swarm’s focal point. Even a fireball or flame strike will do nothing other than temporarily (1 turn) to clear the insects out of the area affected by their flames."
druid,Pass Plant,5,touch,see text,see text,v s m,7 segments,none,"By means of this spell, the druid steps into one tree and steps out from a distant tree of the same type. The druid determines the direction in which he or she will travel from one tree to another. Most trees permit a maximum distance of travel of 300 yards, but trees sacred to druids allow travel of considerably greater distance; oak, yew, and rowan trees permit the druid to travel as far as 600 yards. If no tree of the same type is to be found in the direction the druid designates, he or she will emerge from any tree of that species within the spell’s range closest to the direction he or she specified. The druid may remain in the first tree for as long as one round per caster level before being forced to leave the other tree, and in this case he or she will be treated in the same way as for a plant door spell. If no appropriate tree is available for the druid to step from, he or she may remain in the first tree for the spell’s duration, but will not be able to use the spell for travelling."
druid,Sticks to Snakes,5,40 ft,2 rounds/ caster lvl,5 ft radius,v s m,7 segments,none,"This spell enables the druid to transform sticks into serpents that attack at the druid’s will. The snakes may be ordered to take other actions if the druid can speak with them, but this spell alone does not grant the power to communicate with the snakes, only to will them to attack particular opponents. The spell transforms one stick per caster level, and each snake has a 5% chance per caster level of being venomous. The reverse of the spell will change snakes into harmless sticks and can work such a transformation upon snakes created by means of this spell. Sticks of a magical quality, such as wands or magic spears, are not affected by the spell."
druid,Transmute Rock to Mud,5,160 ft,see text,20 ft cube/ caster lvl,v s m,7 segments,none,"This spell transforms solid rock into mud, the volume transformed being proportionate to the caster’s level. Any volume of mud will sink until its depth is equal to about one half the pool’s diameter. If this spell is cast upon a ceiling, the resulting volume of mud will immediately collapse, possibly trapping or suffocating those caught beneath. Similarly, if a floor is turned to mud, creatures standing in the area will sink and may be trapped. If dispel magic is cast upon the mud before it eventually dries into dirt, the mud will return to stone, but in the shape and location of the mud (i.e., a collapsed ceiling will not return to its original place; it will be frozen back into stone where it collapsed). The spell’s reverse transforms mud into sandstone or a similar sedimentary rock."
druid,Wall of Fire,5,80 ft (wall) or caster (ring),see text,see text,v s m,7 segments,none,"One of the more dramatic examples of druidic magic is the wall of fire spell, by which the druid calls up a blazing inferno of flame in the shape of a wall. One side of the conflagration emits the searing heat one would expect, but the other side emits merely a gentle warmth. Passing through the flames inflicts 4d4 damage plus 1/ caster level. Creatures as far as ten ft from the hot side of the wall incur 2d4 hit points of damage, and even creatures as far as 20 ft from the fire are burned for 1d4 points of damage. Undead creatures suffer worse from the power of this druidic magic, taking twice the ordinary damage the wall would inflict."
druid,Animal Summoning III,6,240 ft/ caster lvl,specific mission,spell range,v s m,8 segments,none,"This spell is similar to animal summoning I, but is more powerful. The spell will summon up to 4 animals of no more than 16 HD each, or 16 animals of no more than 4 HD each."
druid,Anti-Animal Shell,6,0,1 turn/ caster lvl,10 ft radius sphere,v s m,1 round,none,"This spell creates an immobile field of force that hedges out all animal matter. Note that undead and beings not of the material plane are not considered animal matter. The druid’s allies must, of course, be within the field at the time it is conjured forth, for they themselves are presumably of animal matter."
druid,Conjure Fire Elemental,6,80 ft,1 turn/ caster lvl,-,v s m,6 rounds,none,"It is within the power of a high-level druid to summon forth an elemental being from the plane of fire. The elemental will ordinarily be of 16 HD, but there is a 5% chance that it will be of 24 HD and a 1% chance that an afreet, rather than an elemental, will appear. The elemental will act as the druid’s ally, remaining for the spell’s duration to assist him or her however possible, including engaging in combat with his or her enemies. Druids need no protective circle to summon fire elementals and need not concentrate upon the elemental in any way."
druid,Cure Critical Wounds,6,touch,instantaneous (permanent),one creature,v s m,8 segments,none,"This powerful spell is similar in nature to cure light wounds, operating in the same fashion but healing 3d8+3 hit points of damage. The reverse of the spell functions as cause critical wounds, but delivers 3d8+3 points of damage."
druid,Feeblemind,6,40 ft,permanent,one creature,v s,8 segments,negates,"The insidious feeblemind spell affects only those who can cast spells, tracing and poisoning the mystical channels of their arcane power like a viral infection. The spell reduces a victim into a state of extreme mental retardation, which condition persists until the victim is magically restored by means of a heal, wish, or restoration spell. The different types of spell casting ability are not equally vulnerable to the feeblemind spell. Practitioners of clerical magic gain a bonus of +1 to sav- ing throws; druids save at –1; magic users and illusionists save at –4. (Those who can use more than one type of magic must save using the average of their modifiers.)"
druid,Fire Seeds,6,40 ft (see text),1 turn/ caster lvl,see text,v s m,1 round/ seed,half,"By casting this spell upon a group of seeds, either acorns or holly berries, the druid imbues them with the potential to erupt in a violent explosion of magical fire. Transformed acorns may be used as missiles, and transformed holly berries as delayed-action bombs. The spell allows the druid to create four acorn fire seeds or eight holly berry fire seeds, or a proportionate combination such as two acorns and four holly berries. Acorns may be thrown at a range of up to 40 ft and cause 2d8 points of damage in a radius of 5 ft, igniting any combustibles that fail item saving throws. If an acorn strikes its target with a successful to-hit roll, the target is not entitled to a saving throw. Even if the attack misses, the target may be caught in the blast area (and would be entitled to a saving throw for half damage, as any other creature within the blast area). The holly berries may be thrown no more than 6 ft, or may be left in place to ignite upon a command word. (The range of the command word is 40 ft.) Holly berries create an explosion in an area of 5 x 5 ft, inflicting 1d8 points of damage and causing combustible items to make saving throws against magical fire or burn. As with the acorn seeds, a successful saving throw against the explosion of a holly berry fire seed reduces the damage inflicted by one-half."
druid,Transport via Plants,6,touch,see text,see text,v s,3 segments,none,"The mystic oneness of all nature is a principal tenet of many druidic sects, and it sees practical use in the transport via plants spell. Upon casting this spell, the druid may travel almost instantly from one plant to another through the mystic oneness that joins all life forms. The spell operates in much the same fashion as pass plant, but with an unlimited range. When the spell is cast, the druid simply steps into a large plant of any kind and disappears into it. He or she may remain in the first plant for up to 24 hours, but at any time he or she may step forth from another plant of the same species in another location. The druid may know of a specific plant from which he or she wants to emerge, or may simply specify a distance and a direction. If the druid does not know of a specific destination plant, his or her arrival may be off by 1d% miles from the desired point of arrival, at the GM’s discretion."
druid,Turn Wood,6,0,4 rounds/ caster lvl,"120 ft wide path, 20 ft long/ caster lvl",v s m,8 segments,none,"At the completion of this spell, the druid holds his or her palm outstretched, and with the final word of the spell a tremendous burst of power rolls forth, forcing back all wooden objects. Even very large wooden structures that are not affixed to the ground will be affected, although objects fixed to the ground will manage to withstand the spell’s awesome power. A saplingsized or smaller piece of wood will splinter and break even if it is firmly affixed. The druid need not concentrate on maintaining the waves of force and cannot change the direction of the flow of eldritch power once it is set."
druid,Wall of Thorns,6,80 ft,1 turn/ lvl,100 ft cube/ caster lvl,v s,8 segments,none,"When the druid casts this spell, a tangled wall of briar vines erupts from the ground, bristling with sharp, deadly thorns. Running into or attempting to force a way through the thorns will cause 8 hp damage, plus 1 hp for every point of armour class. A creature may be caught within the wall of thorns when the spell is cast, and if this is the case it will take damage immediately and must fight through (taking damage a second time) to gain enough freedom of motion to chop at the thorns. It takes four turns to cut through a 40 ft thickness of a wall of thorns. Normal fire has no effect upon a wall of thorns, but magical fire can ignite the entire growth, creating a wall of fire (as per the spell) that burns away to nothing in two turns."
druid,Weather Summoning,6,0,see text,see text,v s m,1 turn,none,"The area of effect of this spell is d% square miles, but except as noted above, the spell is similar to the clerical spell control weather, allowing the druid to affect, but not direct, existing weather conditions."
druid,Animate Rock,7,40 ft,1 round/ caster lvl,2 ft cu/ caster lvl,v s m,9 segments,none,This spell allows the druid to animate and command a stone object in the same way that a druid commands an animated object with the animate object spell. The object to be animated cannot be part of a larger stone structure.
druid,Chariot of Fire,7,10 ft,6 turns + 1 turn/ lvl,-,v s m,1 turn,none,"A chariot of fire, drawn by two flaming steeds, appears with an echoing thunderclap when the druid completes the final words of this spell. The druid may, by touch, make up to 8 of his or her companions immune to the furnace-like conveyance; anyone else within five ft of the horses or the chariot will sustain 2d4 hp of damage per round. The chariot can travel over land at a speed of 240 ft/ round and can fly at a speed of 480 ft/ round, obeying the caster’s shouted instructions. It is possible for the chariot and horses to sustain damage from magical weapons or from water (which does only 1 hp of damage). Chariot and horses each have 30 hp and are AC 2; if a single horse is dispelled by taking physical damage, the chariot’s speed will be halved. The chariot prevents normal fire from affecting its passengers, but they may take damage from magical fire attacks. The chariot and horses are themselves immune to all fire, magical or otherwise."
druid,Confusion,7,80 ft,1 round/ lvl,up to 20 ft radius,v s m,9 segments,-,"This spell causes creatures to behave strangely and unpredictably. A certain number of creatures in the spell’s area of effect must make a saving throw each round in order to avoid becoming confused. The base number of creatures is 2d4, but additional creatures may be affected; if the druid’s caster level is higher than the HD of the strongest opponent, the difference is the number of additional creatures that must make saving throws. This spell is extremely powerful; all saving throws are made with a penalty of –2. Creatures that fail their saving throws (check each round) act randomly in accordance with the following table:
$
01-10%|Attacks the druid or his or her allies
11-20%|Acts normally 21-50 Babbles incoherently
51-70%|Meanders away from caster for a full turn
71-00%|Attacks nearest creature
@
Note: a creature that meanders away is not entitled to further saving throws, but will be freed from the spell’s effects after taking a full turn of movement (at normal speed) away from the caster."
druid,Conjure Earth Elemental,7,40 ft,1 turn/ lvl,-,v s m,1 turn,none,"By means of this spell, the druid summons a 16 HD elemental from the plane of earth. The spell is otherwise identical to the druidic spell conjure fire elemental, but there is no chance to summon a more powerful elemental, as exists when a druid summons fire elementals. As with conjuring fire elementals, the earth elemental will be the druid’s ally by its own will; the druid requires no magical wards against it and need not concentrate upon it after the summoning is complete."
druid,Control Weather,7,0,8d12 hours,4d8 sq miles,v s m,1 turn,none,"The control weather spell brings about a rapid change in the weather of several square miles surrounding the point where the spell is cast. It requires no more than 10-40 minutes for the spell to take its full effect across the vast area it covers. The spell affects precipitation, temperature, and wind speed. Existing weather conditions cannot be utterly changed by the force of this spell, but druids are able to cause more of a change than druids can with the same spell; effectively twice the amount of change is possible for a druid. The druid could not bring heavy rain forth on a clear day, but could change the weather from clear to partly cloudy, and then to fully cloudy (with light rain, perhaps), all in the course of one casting. By comparison, a druid would only have been able to bring about partial clouds. Hot weather can be made cool, and a strong wind can be raised from calm air. This spell may be cast more than once in succession to bring about a dramatic change, moving, for example, from a calm to a strong wind, then from the strong wind to a full-scale storm."
druid,Creeping Doom,7,0,4 rounds/ lvl,- ,v s m,9 segments,none,"The terrifying creeping doom spell causes a massive swarm of insects, spiders, and centipedes to boil forth from the ground in front of the caster, marching in whatever direction he or she orders, destroying and killing all that stands in their way. The swarm is composed of (1d6+4) x100 non-flying vermin, each of which inflicts 1 hp damage against an opponent before dying. Only as many insects as are needed to kill an opponent will die, and once the target is dead the swarm will move on. If the druid allows the swarm to get more than 80 ft away from his or her person, 50 insects for every 10 ft beyond this range will depart the swarm. The druid can order the swarm to attack specific targets and/or to change direction. Although the spell can be devastating (potentially causing as much as 1,000 hp of damage in total), many means can be used to counter it—the most obvi- ous being a fireball or other area-of-effect damage spell."
druid,Finger of Death,7,60 ft,instantaneous,one creature,v s m,5 segments,negates,"The casting of this spell culminates when the druid points a finger at his or her chosen victim. If the target fails a saving throw, it dies."
druid,Fire Storm,7,150 ft,1 round,20 x 20 x 20 ft area/ caster lvl,v s m,9 segments,half,"The fire storm invocation is a modified and enlarged version of wall of fire. It lasts for only a single round, and does only half the damage of a wall of fire (i.e. 2d8 damage), but the huge area of effect makes it devastating. The spell’s reverse extinguishes all normal fire in the area of effect, or will instantly kill one fire elemental (no saving throw)."
druid,Reincarnate,7,touch,instantaneous,creature touched,v s m,1 turn,none,"Provided that a body has been dead for no more than a week, a powerful druid can recall its spirit from the dead—but into another body. The form of the new body is not subject to thedruid’s control, and is determined by means of the tables below. The new body will appear within 1d6 turns near the soul’s former body. Elves may be brought back to life by reincarnation. There is a 35% chance that the new incarnation will be from the “humanoid” table and a 65% chance that the new incarnation will be from the animal table. The new incarnation (if sapient) will retain the original character’s experience points, but will have new physical (Str, Dex, Con) ability scores randomly rolled and adjusted for the new race. The character will retain his or her original mental ability scores (Int, Wis, Cha).
$Humanoid Table:Die Roll|New Incarnation
01-02|Bugbear
03-05|Dwarf
06-16|Elf
17-18|Gnoll
19-31|Gnome
32-33|Goblin
34-36|Half-elf
37-39|Halfling
40-42|Half-orc
43-44|Hobgoblin
45-88|Human
89-91|Kobold
92-93|Ogre
94-95|Ogre Mage
96-98|Orc
99-00|Troll
@
$Animal Table:Die Roll|New Incarnation
01-05|Badger
06-18|Bear
19-24|Boar
25-29|Centaur
30-35|Dryad
36-43|Eagle
44-46|Fox
47-52|Hawk
53-57|Lynx
58-62|Owl
63-68|Pixie
69-71|Raccoon
72-76|Faun
77-84|Stag
85-92|Wolf
93-00|Wolverine
@"
druid,Transmute Metal to Wood,7,80 ft,instantaneous (permanent),one metal object,v s m,9 segments,see text,"Using this spell, the druid may select a single object of metal and change its substance to wood. The spell affects up to 8 lbs of metal per caster level. The item is not entitled to a saving throw, but magic items have a flat 90% chance of being unaffected by the spell."
